"CountryCode","SeriesCode","Year","DESCRIPTION",
"AGO","SI.POV.URGP","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.URGP.NC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.URHC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"AGO","SI.POV.URHC.NC","YR2008","Source: Angola -Inquérito Integrado sobre o Bem-Estar da População IBEP, 2010. Poverty line is absolute. Government estimate.",
"ALB","SI.DST.02ND.20","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.02ND.20","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.02ND.20","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.02ND.20","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.02ND.20","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.DST.03RD.20","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.03RD.20","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.03RD.20","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.03RD.20","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.03RD.20","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.DST.04TH.20","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.04TH.20","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.04TH.20","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.04TH.20","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.04TH.20","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.DST.05TH.20","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.05TH.20","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.05TH.20","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.05TH.20","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.05TH.20","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.DST.10TH.10","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.10TH.10","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.10TH.10","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.10TH.10","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.10TH.10","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.10","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.10","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.10","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.10","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.10","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.20","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.20","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.20","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.20","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.DST.FRST.20","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.ATTM.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ALB","SI.POV.DDAY","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.DDAY","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.DDAY","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.DDAY","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.DDAY","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.DDAY.GR","YR2008","Decomposition is for the period of 2012-2008.",
"ALB","SI.POV.DDAY.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ALB","SI.POV.DDAY.RE","YR2008","Decomposition is for the period of 2012-2008.",
"ALB","SI.POV.ELEC.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ALB","SI.POV.ENRL.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ALB","SI.POV.GAPS","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.GAPS","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.GAPS","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.GAPS","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.GAPS","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.GINI","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.GINI","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.GINI","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.GINI","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.GINI","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.HCRT.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ALB","SI.POV.LMIC","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.GP","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.GP","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.GP","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.GP","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.GP","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.GR","YR2008","Decomposition is for the period of 2012-2008.",
"ALB","SI.POV.LMIC.NO","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.NO","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.NO","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.NO","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.NO","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.LMIC.RE","YR2008","Decomposition is for the period of 2012-2008.",
"ALB","SI.POV.NAGP","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP.NC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP.NC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP.NC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAGP.NC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC.NC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC.NC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC.NC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NAHC.NC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.NOP1","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.NOP1","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.NOP1","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.NOP1","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.NOP1","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.RUGP","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP.NC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP.NC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP.NC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUGP.NC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC.NC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC.NC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC.NC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.RUHC.NC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.SANI.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ALB","SI.POV.UMIC","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.GP","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.GP","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.GP","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.GP","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.GP","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.GR","YR2008","Decomposition is for the period of 2012-2008.",
"ALB","SI.POV.UMIC.NO","YR1996","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.NO","YR2002","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.NO","YR2005","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.NO","YR2008","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.NO","YR2012","Estimated from unit-record consumption data.",
"ALB","SI.POV.UMIC.RE","YR2008","Decomposition is for the period of 2012-2008.",
"ALB","SI.POV.URGP","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP.NC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP.NC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP.NC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URGP.NC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC.NC","YR2002","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC.NC","YR2005","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC.NC","YR2008","Source: Albania: trends in poverty 2002-2005-2008. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.URHC.NC","YR2012","Source: Instat and World Bank (2013). ALBANIA: TRENDS IN POVERTY 2002-2005-2008-2012. Poverty line is absolute. World Bank estimate.",
"ALB","SI.POV.WATR.MI","YR2012","Survey: LSMS. Welf type: CONS",
"ARG","SI.DST.02ND.20","YR1980","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1986","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1987","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1991","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1992","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1993","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1994","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1995","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1996","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1997","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1998","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR1999","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2000","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2001","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2002","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2003","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2004","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2005","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2006","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2007","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2008","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2009","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2010","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2011","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2012","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2013","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2014","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2016","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.02ND.20","YR2017","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1980","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1986","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1987","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1991","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1992","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1993","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1994","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1995","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1996","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1997","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1998","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR1999","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2000","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2001","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2002","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2003","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2004","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2005","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2006","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2007","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2008","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2009","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2010","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2011","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2012","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2013","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2014","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2016","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.03RD.20","YR2017","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1980","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1986","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1987","Estimated from grouped income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1991","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1992","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1993","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1994","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1995","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1996","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1997","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1998","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR1999","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2000","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2001","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2002","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2003","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2004","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2005","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2006","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2007","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2008","Estimated from unit-record income data. Urban only. PPP is regression based.",
"ARG","SI.DST.04TH.20","YR2009","Estimated from unit-record income data. Urban only. PPP is regression based.",
